Gen;	BestValidFit;	Len Train Valid;	Len Train Valid;	Len Train Valid;	Len Train Valid;	
120000;	0.186037;	52 0.125268 0.20882;	51 0.126341 0.212216;	46 0.127358 0.216858;	50 0.127892 0.198974;	
122500;	0.186037;	44 0.125215 0.213324;	52 0.125268 0.20882;	48 0.125526 0.216858;	47 0.125938 0.198974;	
125000;	0.186037;	44 0.125215 0.213324;	42 0.125268 0.198974;	41 0.125526 0.198974;	47 0.125938 0.198974;	
127500;	0.186037;	41 0.125215 0.213324;	42 0.125268 0.198974;	41 0.125526 0.198974;	45 0.125938 0.198974;	
130000;	0.186037;	39 0.125215 0.213324;	47 0.125248 0.198974;	41 0.125268 0.198974;	39 0.125526 0.198974;	
132500;	0.186037;	37 0.125215 0.213324;	47 0.125248 0.198974;	41 0.125268 0.198974;	56 0.12538 0.198974;	
135000;	0.186037;	37 0.125215 0.213324;	43 0.125248 0.198974;	39 0.125268 0.198974;	56 0.12538 0.198974;	
137500;	0.186037;	37 0.125215 0.213324;	43 0.125248 0.198974;	39 0.125268 0.198974;	56 0.12538 0.198974;	
140000;	0.186037;	37 0.125215 0.213324;	40 0.125248 0.198974;	34 0.125268 0.198974;	56 0.12538 0.198974;	
142500;	0.186037;	35 0.125215 0.213324;	39 0.125248 0.198974;	53 0.125266 0.198974;	34 0.125268 0.198974;	
145000;	0.186037;	48 0.125182 0.213257;	35 0.125215 0.213324;	39 0.125248 0.198974;	53 0.125266 0.198974;	
147500;	0.186037;	47 0.124196 0.210246;	40 0.125057 0.198974;	48 0.125182 0.213257;	35 0.125215 0.213324;	
150000;	0.186037;	48 0.123051 0.201362;	42 0.124196 0.210246;	47 0.124687 0.198974;	44 0.124784 0.198974;	
152500;	0.186037;	48 0.123051 0.201362;	47 0.123417 0.198974;	44 0.124078 0.198974;	42 0.124196 0.210246;	
155000;	0.186037;	48 0.123051 0.201362;	47 0.123417 0.198974;	44 0.124078 0.198974;	39 0.124196 0.210246;	
157500;	0.186037;	49 0.122908 0.211957;	48 0.123051 0.201362;	41 0.123417 0.210246;	49 0.123913 0.210246;	
160000;	0.186037;	45 0.122908 0.211957;	48 0.123051 0.201362;	57 0.123332 0.210246;	41 0.123417 0.210246;	
162500;	0.186037;	45 0.122908 0.211957;	48 0.123051 0.201362;	57 0.123332 0.210246;	41 0.123417 0.210246;	
165000;	0.186037;	54 0.119964 0.221521;	45 0.122908 0.211957;	48 0.123051 0.201362;	49 0.123126 0.210246;	
167500;	0.186037;	54 0.119964 0.221521;	47 0.122781 0.210246;	45 0.122908 0.211957;	48 0.123051 0.201362;	
170000;	0.186037;	54 0.119964 0.221521;	41 0.122781 0.210246;	45 0.122908 0.211957;	48 0.123051 0.201362;	
172500;	0.186037;	54 0.119964 0.221521;	51 0.122122 0.201362;	41 0.122781 0.210246;	45 0.122908 0.211957;	
175000;	0.186037;	56 0.119018 0.210855;	54 0.119964 0.221521;	51 0.122122 0.201362;	41 0.122781 0.210246;	
177500;	0.186037;	56 0.119018 0.210855;	54 0.119964 0.221521;	53 0.121934 0.211957;	51 0.122122 0.201362;	
180000;	0.186037;	56 0.119018 0.210855;	54 0.119964 0.221521;	49 0.120892 0.211957;	60 0.12101 0.210246;	
182500;	0.186037;	56 0.118825 0.199305;	56 0.119018 0.210855;	51 0.119351 0.211957;	54 0.119964 0.221521;	
185000;	0.186037;	52 0.117569 0.199844;	56 0.118825 0.199305;	56 0.119018 0.210855;	51 0.119351 0.211957;	
187500;	0.186037;	52 0.117569 0.199844;	54 0.118094 0.210855;	61 0.118147 0.210246;	59 0.118151 0.201362;	
190000;	0.186037;	62 0.116548 0.205656;	52 0.117569 0.199844;	54 0.118094 0.210855;	52 0.11814 0.221521;	
192500;	0.186037;	62 0.116548 0.205656;	51 0.117339 0.201362;	52 0.117569 0.199844;	54 0.117716 0.221521;	
195000;	0.186037;	60 0.116536 0.201748;	62 0.116548 0.205656;	51 0.117339 0.201362;	61 0.117364 0.221521;	
197500;	0.186037;	56 0.116002 0.19882;	60 0.116188 0.20548;	60 0.116536 0.201748;	62 0.116548 0.205656;	
200000;	0.186037;	55 0.114036 0.200549;	56 0.116002 0.19882;	60 0.116069 0.201362;	60 0.116188 0.20548;	
202500;	0.186037;	55 0.114036 0.200549;	52 0.115366 0.20548;	56 0.115366 0.201748;	64 0.115575 0.210855;	
205000;	0.186037;	55 0.114036 0.200549;	59 0.1147 0.201362;	52 0.115366 0.20548;	56 0.115366 0.201748;	
207500;	0.186037;	55 0.114036 0.200549;	47 0.1147 0.201748;	64 0.115352 0.201748;	52 0.115366 0.20548;	
210000;	0.186037;	53 0.114036 0.200549;	63 0.114271 0.201748;	53 0.114679 0.201748;	47 0.1147 0.201748;	
212500;	0.186037;	53 0.114036 0.200549;	55 0.114271 0.201748;	54 0.114472 0.201748;	53 0.114679 0.201748;	
215000;	0.186037;	61 0.11267 0.196567;	58 0.113805 0.201748;	53 0.114036 0.200549;	53 0.114271 0.201748;	
217500;	0.186037;	61 0.11267 0.196567;	51 0.113093 0.201748;	58 0.113805 0.201748;	53 0.114036 0.200549;	
220000;	0.186037;	59 0.112127 0.196574;	61 0.112344 0.201748;	61 0.11267 0.196567;	51 0.113093 0.201748;	
222500;	0.186037;	55 0.108071 0.190162;	64 0.108968 0.196567;	50 0.111542 0.201748;	58 0.112127 0.196574;	
225000;	0.186037;	60 0.107542 0.191603;	55 0.108071 0.190162;	54 0.108285 0.201748;	64 0.108968 0.196567;	
227500;	0.186037;	55 0.107542 0.191603;	55 0.108071 0.190162;	54 0.108285 0.201748;	54 0.108968 0.201748;	
230000;	0.186037;	59 0.106509 0.188832;	57 0.106654 0.200549;	57 0.107112 0.201748;	55 0.107542 0.191603;	
232500;	0.186037;	59 0.106509 0.188832;	57 0.106654 0.200549;	55 0.106829 0.201748;	57 0.107112 0.201748;	
235000;	0.186037;	56 0.106455 0.195999;	59 0.106509 0.188832;	57 0.106654 0.200549;	51 0.106829 0.201748;	
237500;	0.186037;	56 0.106455 0.195999;	59 0.106509 0.188832;	57 0.106557 0.190162;	56 0.106654 0.201748;	
240000;	0.183659;	53 0.104698 0.183659;	52 0.106238 0.201748;	56 0.106455 0.195999;	59 0.106509 0.188832;	
242500;	0.183659;	53 0.104698 0.183659;	52 0.106238 0.201748;	56 0.106455 0.195999;	59 0.106509 0.188832;	
245000;	0.183659;	53 0.104698 0.183659;	52 0.106238 0.201748;	56 0.106455 0.195999;	57 0.106463 0.190162;	
247500;	0.183659;	53 0.104698 0.183659;	52 0.106238 0.201748;	54 0.106452 0.188832;	56 0.106455 0.195999;	
250000;	0.183659;	52 0.104698 0.183659;	53 0.105801 0.195999;	52 0.106238 0.201748;	51 0.106345 0.195999;	
Best: Len=53; Trn=0.104698; Val=0.183659; Tst=0.163683;

2500;	0.205891;	15 0.203377 0.205891;	15 0.203394 12.7873;	11 0.20786 0.221729;	20 0.209896 0.219947;	
5000;	0.205891;	25 0.202426 0.206169;	15 0.203377 0.205891;	19 0.203377 0.221729;	15 0.203394 12.7873;	
7500;	0.205891;	25 0.202426 0.206169;	14 0.203377 0.221729;	19 0.203377 0.221729;	15 0.203394 12.7873;	
10000;	0.205891;	22 0.202327 0.205891;	25 0.202426 0.206169;	22 0.202621 0.213368;	14 0.203377 0.221729;	
12500;	0.204518;	28 0.200537 0.204518;	22 0.202327 0.205891;	25 0.202426 0.206169;	29 0.202512 0.221729;	
15000;	0.204518;	28 0.200537 0.204518;	35 0.200827 12.7873;	28 0.201327 12.7873;	32 0.20133 0.221729;	
17500;	0.204518;	28 0.200537 0.204518;	41 0.200761 0.206169;	35 0.200827 12.7873;	28 0.201327 12.7873;	
20000;	0.19177;	38 0.193912 0.19177;	35 0.196072 0.195856;	36 0.20037 0.221729;	28 0.200537 0.204518;	
22500;	0.19177;	38 0.193912 0.19177;	35 0.196072 0.195856;	36 0.20037 0.221729;	28 0.200537 0.204518;	
25000;	0.19177;	38 0.193912 0.19177;	42 0.195426 0.221729;	35 0.196072 0.195856;	44 0.199756 12.7873;	
27500;	0.19177;	35 0.193356 0.192165;	38 0.193912 0.19177;	42 0.195426 0.221729;	35 0.196072 0.195856;	
30000;	0.185165;	44 0.191359 0.185165;	35 0.193356 0.192165;	38 0.193912 0.19177;	42 0.195426 0.221729;	
32500;	0.185165;	43 0.18183 0.185861;	44 0.191359 0.185165;	35 0.193356 0.192165;	47 0.193673 0.221729;	
35000;	0.185165;	43 0.18183 0.185861;	41 0.189963 0.221729;	44 0.191359 0.185165;	35 0.193356 0.192165;	
37500;	0.185165;	43 0.18183 0.185861;	49 0.183849 0.192165;	41 0.189963 0.221729;	44 0.191359 0.185165;	
40000;	0.185165;	43 0.18183 0.185861;	49 0.183849 0.192165;	41 0.186656 0.221729;	53 0.187363 0.19177;	
42500;	0.184194;	54 0.18135 0.184194;	43 0.18183 0.185861;	45 0.182171 0.19177;	49 0.183849 0.192165;	
45000;	0.184194;	54 0.18135 0.184194;	43 0.18183 0.185861;	45 0.182171 0.19177;	50 0.183464 0.221729;	
47500;	0.184194;	54 0.17915 0.188933;	54 0.18135 0.184194;	46 0.18181 0.221729;	43 0.18183 0.185861;	
50000;	0.183249;	46 0.179009 0.183249;	54 0.17915 0.188933;	48 0.17998 0.184194;	53 0.180528 0.192165;	
52500;	0.183249;	46 0.179009 0.183249;	54 0.17915 0.188933;	48 0.17998 0.184194;	53 0.180528 0.192165;	
55000;	0.183249;	46 0.179009 0.183249;	54 0.17915 0.188933;	48 0.17998 0.184194;	53 0.180528 0.192165;	
57500;	0.179209;	51 0.174711 0.179209;	53 0.177889 0.179464;	53 0.178278 0.185861;	46 0.179009 0.183249;	
60000;	0.179209;	51 0.174711 0.179209;	53 0.177889 0.179464;	53 0.178278 0.185861;	46 0.179009 0.183249;	
62500;	0.174863;	53 0.174287 0.174863;	51 0.174711 0.179209;	53 0.177889 0.179464;	53 0.178278 0.185861;	
65000;	0.174863;	52 0.174155 0.178308;	53 0.174287 0.174863;	51 0.174711 0.179209;	63 0.175101 0.185861;	
67500;	0.166506;	49 0.171249 0.170208;	54 0.17333 0.166506;	52 0.174155 0.178308;	53 0.174287 0.174863;	
70000;	0.166506;	49 0.171249 0.170208;	58 0.173022 0.192165;	54 0.17333 0.166506;	52 0.174155 0.178308;	
72500;	0.166506;	49 0.171249 0.170208;	56 0.172179 0.179209;	58 0.173022 0.192165;	54 0.17333 0.166506;	
75000;	0.166506;	56 0.168615 0.169829;	49 0.171249 0.170208;	56 0.172179 0.179209;	58 0.173022 0.192165;	
77500;	0.166506;	56 0.168615 0.169829;	49 0.171249 0.170208;	56 0.172179 0.179209;	58 0.173022 0.192165;	
80000;	0.166506;	56 0.168615 0.169829;	49 0.171249 0.170208;	56 0.172179 0.179209;	58 0.173022 0.192165;	
82500;	0.166506;	56 0.168615 0.169829;	49 0.171249 0.170208;	58 0.17177 0.221729;	56 0.172179 0.179209;	
85000;	0.166506;	56 0.168615 0.169829;	56 0.170601 0.192165;	49 0.171249 0.170208;	52 0.171673 0.192165;	
87500;	0.163277;	62 0.166982 0.163277;	56 0.168539 0.192165;	56 0.168615 0.169829;	56 0.170601 0.192165;	
90000;	0.163277;	62 0.166982 0.163277;	56 0.168539 0.192165;	56 0.168615 0.169829;	56 0.170601 0.192165;	
92500;	0.163277;	62 0.166982 0.163277;	56 0.168539 0.192165;	56 0.168615 0.169829;	56 0.170601 0.192165;	
95000;	0.163277;	63 0.163713 0.163584;	59 0.165967 0.192165;	62 0.166982 0.163277;	56 0.168539 0.192165;	
97500;	0.163277;	63 0.163713 0.163584;	68 0.164055 0.192165;	59 0.165967 0.192165;	62 0.166982 0.163277;	
100000;	0.143077;	67 0.150573 0.143077;	59 0.162754 0.163277;	61 0.162856 0.192165;	62 0.163696 0.16353;	
102500;	0.143077;	67 0.150573 0.143077;	62 0.154068 0.16353;	55 0.158082 0.179209;	59 0.162754 0.163277;	
105000;	0.142864;	63 0.149759 0.142864;	66 0.150573 0.143077;	65 0.151777 0.163277;	62 0.154068 0.16353;	
107500;	0.136833;	62 0.146719 0.139688;	63 0.14929 0.136833;	63 0.149759 0.142864;	66 0.150573 0.143077;	
110000;	0.136833;	62 0.140923 0.140365;	60 0.14459 0.139712;	62 0.146719 0.139688;	64 0.147946 0.142864;	
112500;	0.136833;	62 0.140923 0.140365;	60 0.14459 0.139712;	63 0.146421 0.166506;	57 0.146577 0.174863;	
115000;	0.136833;	62 0.140923 0.140365;	59 0.14098 0.142864;	67 0.141091 0.174863;	73 0.143195 0.166506;	
117500;	0.136833;	61 0.139857 0.138975;	62 0.140923 0.140365;	64 0.140967 0.136833;	59 0.14098 0.142864;	
120000;	0.134111;	57 0.134745 0.134111;	62 0.13714 0.174863;	58 0.13838 0.142864;	60 0.139742 0.136833;	
122500;	0.133747;	61 0.134643 0.133747;	57 0.134745 0.134111;	62 0.13714 0.174863;	58 0.13838 0.142864;	
125000;	0.133303;	58 0.134318 0.133303;	61 0.134643 0.133747;	57 0.134745 0.134111;	57 0.134935 0.142864;	
127500;	0.133303;	58 0.134318 0.133303;	61 0.134643 0.133747;	65 0.134696 0.142864;	57 0.134745 0.134111;	
130000;	0.126847;	56 0.132289 0.13155;	57 0.133836 0.126847;	57 0.134318 0.134111;	61 0.134643 0.133747;	
132500;	0.126847;	57 0.131444 0.130447;	56 0.132289 0.13155;	53 0.132639 0.136833;	57 0.133836 0.126847;	
135000;	0.126847;	60 0.131277 0.13095;	58 0.131389 0.126847;	57 0.131444 0.130447;	56 0.132289 0.13155;	
137500;	0.126847;	62 0.129963 0.128843;	60 0.131277 0.13095;	57 0.131326 0.13155;	58 0.131389 0.126847;	
140000;	0.125378;	64 0.126668 0.125378;	62 0.127499 0.13095;	59 0.12751 0.126427;	62 0.129963 0.128843;	
142500;	0.125378;	64 0.126668 0.125378;	62 0.127499 0.13095;	59 0.12751 0.126427;	62 0.129963 0.128843;	
145000;	0.125316;	59 0.126448 0.125641;	63 0.126626 0.125316;	64 0.126668 0.125378;	61 0.127291 0.142864;	
147500;	0.125316;	59 0.126448 0.125641;	61 0.126626 0.142864;	64 0.126668 0.125378;	58 0.126867 0.13095;	
150000;	0.125316;	59 0.126436 0.125577;	58 0.126448 0.125378;	67 0.126525 0.13095;	61 0.126626 0.142864;	
152500;	0.123814;	58 0.12382 0.123814;	62 0.125387 0.124643;	61 0.125997 0.126427;	58 0.126235 0.124594;	
155000;	0.116072;	64 0.122461 0.116072;	58 0.12382 0.123814;	62 0.125387 0.124643;	61 0.125997 0.126427;	
157500;	0.116072;	60 0.120737 0.11948;	64 0.122461 0.116072;	58 0.12382 0.123814;	59 0.12437 0.124594;	
160000;	0.116072;	60 0.120737 0.11948;	68 0.121945 0.124594;	63 0.121946 0.125147;	64 0.122461 0.116072;	
162500;	0.108072;	66 0.1163 0.108072;	60 0.120737 0.11948;	61 0.121569 0.124643;	68 0.121945 0.124594;	
165000;	0.108072;	66 0.1163 0.108072;	62 0.117006 0.123814;	65 0.117886 0.125147;	63 0.119949 0.11948;	
167500;	0.0988692;	61 0.113704 0.0988692;	71 0.114746 0.112226;	66 0.1163 0.108072;	73 0.11682 0.11948;	
170000;	0.0988692;	61 0.113704 0.0988692;	64 0.113903 0.123814;	71 0.114746 0.112226;	69 0.116015 0.116072;	
172500;	0.0978673;	59 0.112086 0.0978673;	68 0.112951 0.0982745;	61 0.113704 0.0988692;	66 0.113801 0.11948;	
175000;	0.0942289;	67 0.108525 0.0946475;	66 0.110022 0.0964671;	65 0.110342 0.0942289;	65 0.110521 0.0982745;	
177500;	0.0942289;	67 0.108525 0.0946475;	71 0.109785 0.124594;	67 0.109911 0.108072;	60 0.109913 0.0982745;	
180000;	0.0939807;	62 0.107176 0.0939807;	60 0.108525 0.0964671;	64 0.109256 0.108072;	71 0.109785 0.124594;	
182500;	0.0939807;	58 0.107176 0.0939807;	56 0.107442 0.124594;	60 0.108525 0.0964671;	64 0.109256 0.108072;	
185000;	0.0928019;	64 0.0999306 0.0928019;	56 0.107176 0.108072;	56 0.107442 0.124594;	50 0.108335 0.108072;	
187500;	0.0928019;	64 0.0999306 0.0928019;	66 0.100338 0.108072;	72 0.10618 0.108072;	64 0.107104 0.0964671;	
190000;	0.0928019;	71 0.0936706 0.117478;	69 0.0981832 0.108072;	64 0.0999306 0.0928019;	66 0.100338 0.108072;	
192500;	0.0928019;	71 0.0936706 0.117478;	65 0.0945453 0.124594;	63 0.0957149 0.108072;	57 0.0972516 0.108072;	
195000;	0.0727642;	65 0.0871332 0.0727642;	63 0.0871953 0.108072;	66 0.0879942 0.117478;	63 0.0933347 0.108072;	
197500;	0.0727642;	57 0.0871332 0.0727642;	63 0.0871953 0.108072;	62 0.0872244 0.124594;	66 0.0873127 0.0928019;	
200000;	0.0727642;	57 0.0871332 0.0727642;	59 0.0871953 0.117478;	62 0.0872244 0.124594;	61 0.087236 0.117478;	
202500;	0.0718582;	66 0.0869914 0.0718582;	65 0.0870447 0.117478;	57 0.0871332 0.0727642;	63 0.0871481 0.124594;	
205000;	0.0704588;	64 0.0863907 0.0704588;	57 0.0869914 0.0718582;	64 0.0870447 0.124594;	57 0.0871332 0.0727642;	
207500;	0.0704588;	67 0.0781509 0.0828307;	64 0.0863907 0.0704588;	57 0.0869914 0.0718582;	57 0.0870447 0.117478;	
210000;	0.0704588;	67 0.0781509 0.0828307;	66 0.0832681 0.124594;	64 0.0851979 0.117478;	61 0.0861044 0.0718582;	
212500;	0.0704588;	67 0.0781509 0.0828307;	72 0.0796743 0.117478;	63 0.0814913 0.0718582;	65 0.0819522 0.0704588;	
215000;	0.0704588;	65 0.076536 0.0790247;	67 0.0781509 0.0828307;	65 0.0786914 0.0704588;	62 0.0789381 0.124594;	
217500;	0.0704588;	65 0.076536 0.0790247;	74 0.0774368 0.0704588;	65 0.0780598 0.117478;	64 0.0781509 0.117478;	
220000;	0.0704588;	65 0.076536 0.0790247;	68 0.0768342 0.0704588;	61 0.0772571 0.117478;	74 0.0774368 0.0704588;	
222500;	0.0704588;	68 0.0724548 0.0740541;	65 0.076536 0.0790247;	68 0.0768342 0.0704588;	62 0.0770446 0.117478;	
225000;	0.0704588;	68 0.0724548 0.0740541;	76 0.0735338 0.117478;	65 0.074404 0.117478;	71 0.0761357 0.0704588;	
227500;	0.0704588;	68 0.0724548 0.0740541;	69 0.0724755 0.117478;	68 0.0728956 0.0704588;	76 0.0735338 0.117478;	
230000;	0.0704588;	63 0.0722677 0.0739788;	63 0.0724548 0.117478;	69 0.0724755 0.117478;	70 0.0726017 0.0704588;	
232500;	0.0704588;	64 0.0717271 0.0737201;	65 0.0719581 0.0704588;	65 0.0721723 0.117478;	63 0.0722677 0.0739788;	
235000;	0.0704588;	56 0.0717271 0.0737201;	64 0.0718748 0.0704588;	65 0.0719581 0.0704588;	65 0.0721723 0.117478;	
237500;	0.0704588;	56 0.0717271 0.0737201;	64 0.0718748 0.0704588;	58 0.0719414 0.0739788;	62 0.0719581 0.0739788;	
240000;	0.0704588;	59 0.0715265 0.0736032;	68 0.0715684 0.0737201;	59 0.0716119 0.0732534;	74 0.0716973 0.0739788;	
242500;	0.0704588;	62 0.0708125 0.0722319;	57 0.0715265 0.0736032;	68 0.0715684 0.0737201;	59 0.0716119 0.0732534;	
245000;	0.0704588;	62 0.0708125 0.0722319;	66 0.0714843 0.0739788;	57 0.0715265 0.0736032;	68 0.0715684 0.0737201;	
247500;	0.0704588;	61 0.0705057 0.0722024;	62 0.0708125 0.0722319;	69 0.0710597 0.0737201;	66 0.0714843 0.0739788;	
250000;	0.0704588;	61 0.0705057 0.0722024;	62 0.0708125 0.0722319;	59 0.0709391 0.0739788;	69 0.0710597 0.0737201;	
Best: Len=64; Trn=0.0863907; Val=0.0704588; Tst=0.0866401;

2500;	0.208647;	10 0.208082 0.208647;	17 0.208752 0.209395;	9 0.212282 0.213368;	18 0.213157 0.244468;	
5000;	0.207821;	13 0.207448 0.207821;	10 0.208082 0.208647;	17 0.208752 0.209395;	14 0.208994 0.244468;	
7500;	0.206083;	24 0.203193 0.206083;	17 0.2056 0.207808;	24 0.205611 0.353939;	13 0.207448 0.207821;	
10000;	0.206083;	24 0.203193 0.206083;	28 0.203381 0.244468;	29 0.204065 0.208647;	26 0.20413 0.207821;	
12500;	0.206083;	24 0.203193 0.206083;	34 0.203237 0.353939;	28 0.203381 0.244468;	29 0.204065 0.208647;	
15000;	0.205482;	29 0.203135 0.205482;	24 0.203193 0.206083;	34 0.203237 0.353939;	28 0.203381 0.244468;	
17500;	0.19709;	32 0.196799 0.19709;	45 0.201036 0.353939;	31 0.202042 0.353939;	38 0.202719 0.209395;	
20000;	0.19709;	32 0.196799 0.19709;	39 0.197117 0.208647;	45 0.201036 0.353939;	42 0.201844 0.206083;	
22500;	0.19709;	32 0.196799 0.19709;	39 0.197117 0.208647;	39 0.200378 0.244468;	45 0.201036 0.353939;	
25000;	0.19709;	35 0.196507 0.198563;	32 0.196799 0.19709;	29 0.196977 0.205482;	39 0.197117 0.208647;	
27500;	0.1938;	33 0.189655 0.1938;	35 0.196507 0.198563;	32 0.196799 0.19709;	29 0.196977 0.205482;	
30000;	0.1938;	33 0.189655 0.1938;	35 0.196507 0.198563;	32 0.196799 0.19709;	29 0.196977 0.205482;	
32500;	0.1938;	33 0.189655 0.1938;	35 0.196507 0.198563;	35 0.196655 0.205482;	32 0.196799 0.19709;	
35000;	0.1938;	33 0.189655 0.1938;	37 0.195963 0.208647;	37 0.196025 0.205482;	35 0.196507 0.198563;	
37500;	0.1938;	33 0.189655 0.1938;	30 0.193746 0.19709;	40 0.194361 0.198563;	37 0.195963 0.208647;	
40000;	0.188541;	40 0.184743 0.188541;	33 0.189655 0.1938;	38 0.191412 0.205482;	37 0.193639 0.208647;	
42500;	0.188541;	40 0.184743 0.188541;	42 0.187597 0.208647;	33 0.189655 0.1938;	37 0.189655 0.208647;	
45000;	0.188541;	39 0.184743 0.188541;	36 0.187174 0.208647;	38 0.187597 0.208647;	39 0.187597 0.208647;	
47500;	0.187519;	38 0.184669 0.187519;	39 0.184743 0.188541;	38 0.186362 0.208647;	37 0.186745 0.208647;	
50000;	0.187519;	39 0.184212 0.187919;	38 0.184669 0.187519;	39 0.184743 0.208647;	39 0.184743 0.188541;	
52500;	0.187519;	45 0.184051 0.189475;	39 0.184212 0.187919;	38 0.184669 0.187519;	39 0.184743 0.208647;	
55000;	0.180264;	38 0.181271 0.183379;	43 0.183582 0.180264;	45 0.184051 0.189475;	39 0.184212 0.187919;	
57500;	0.180264;	38 0.181271 0.183379;	41 0.182662 0.188541;	41 0.183138 0.189475;	43 0.183582 0.180264;	
60000;	0.180264;	47 0.179 0.185298;	38 0.181271 0.183379;	40 0.181994 0.180264;	42 0.182032 0.189475;	
62500;	0.180264;	47 0.179 0.185298;	38 0.181271 0.183379;	40 0.181994 0.180264;	42 0.182032 0.189475;	
65000;	0.17637;	41 0.175112 0.17637;	47 0.179 0.185298;	38 0.181271 0.183379;	42 0.181372 0.187919;	
67500;	0.17637;	41 0.175112 0.17637;	47 0.179 0.185298;	38 0.181271 0.183379;	42 0.181372 0.187919;	
70000;	0.17637;	41 0.175112 0.17637;	47 0.179 0.185298;	38 0.181271 0.183379;	42 0.181372 0.187919;	
72500;	0.17637;	41 0.175112 0.17637;	52 0.178878 0.187919;	47 0.179 0.185298;	50 0.179993 0.208647;	
75000;	0.17637;	41 0.175112 0.17637;	42 0.176601 0.188541;	45 0.177956 0.189475;	47 0.178145 0.183379;	
77500;	0.163054;	42 0.165213 0.163054;	50 0.167312 0.170613;	40 0.175112 0.17637;	44 0.176482 0.189475;	
80000;	0.163054;	42 0.165213 0.163054;	50 0.167312 0.170613;	50 0.173121 0.189475;	51 0.174314 0.188541;	
82500;	0.163054;	47 0.165197 0.163884;	39 0.165213 0.189475;	48 0.166336 0.170613;	42 0.167269 0.17637;	
85000;	0.160614;	46 0.162266 0.160614;	47 0.162606 0.160917;	47 0.165197 0.163884;	39 0.165213 0.189475;	
87500;	0.160199;	48 0.161931 0.160199;	50 0.161955 0.163884;	46 0.162266 0.160614;	46 0.162606 0.160917;	
90000;	0.160199;	51 0.161534 0.16312;	48 0.161931 0.160199;	50 0.161955 0.163884;	46 0.162266 0.160614;	
92500;	0.150692;	48 0.144426 0.150692;	56 0.160766 0.161259;	51 0.161507 0.160318;	51 0.161534 0.16312;	
95000;	0.150692;	48 0.144426 0.150692;	52 0.160662 0.187919;	56 0.160766 0.161259;	51 0.161507 0.160318;	
97500;	0.143876;	49 0.139132 0.143876;	48 0.144426 0.150692;	52 0.160662 0.187919;	56 0.160766 0.161259;	
100000;	0.143876;	44 0.139132 0.143876;	50 0.139774 0.150692;	47 0.142072 0.161259;	51 0.142653 0.187919;	
102500;	0.14156;	49 0.1367 0.14156;	44 0.139132 0.143876;	48 0.139774 0.161259;	47 0.142072 0.161259;	
105000;	0.13297;	48 0.126645 0.13297;	46 0.134813 0.143876;	48 0.1367 0.14156;	51 0.136734 0.161259;	
107500;	0.13297;	48 0.126645 0.13297;	48 0.128499 0.161259;	43 0.130326 0.14156;	58 0.132 0.161259;	
110000;	0.13297;	47 0.126645 0.13297;	46 0.128499 0.161259;	43 0.130326 0.14156;	42 0.132 0.161259;	
112500;	0.13297;	40 0.126645 0.13297;	46 0.128499 0.161259;	43 0.130326 0.14156;	51 0.131158 0.161259;	
115000;	0.132175;	48 0.125981 0.132175;	40 0.126645 0.13297;	51 0.12793 0.14156;	41 0.128499 0.14156;	
117500;	0.132175;	46 0.125981 0.132175;	40 0.126645 0.13297;	47 0.12725 0.14156;	45 0.12793 0.14156;	
120000;	0.132175;	43 0.125981 0.132175;	40 0.126645 0.13297;	45 0.12725 0.14156;	49 0.127744 0.14156;	
122500;	0.132175;	43 0.125981 0.132175;	51 0.126076 0.14156;	40 0.126645 0.13297;	44 0.12725 0.14156;	
125000;	0.132175;	40 0.125981 0.132175;	51 0.126076 0.14156;	40 0.126645 0.13297;	43 0.12725 0.14156;	
127500;	0.130618;	52 0.125046 0.130618;	40 0.125981 0.132175;	51 0.126076 0.14156;	40 0.126645 0.13297;	
130000;	0.130618;	46 0.125046 0.130618;	40 0.125981 0.132175;	51 0.126076 0.14156;	40 0.126645 0.13297;	
132500;	0.130618;	46 0.125046 0.130618;	51 0.125184 0.14156;	40 0.125981 0.132175;	51 0.126076 0.14156;	
135000;	0.130618;	46 0.125046 0.130618;	51 0.125184 0.14156;	40 0.125981 0.132175;	48 0.126048 0.14156;	
137500;	0.130618;	45 0.124977 0.130814;	44 0.125046 0.130618;	51 0.125068 0.14156;	51 0.125184 0.14156;	
140000;	0.127453;	48 0.115346 0.127453;	45 0.124977 0.130814;	49 0.125013 0.14156;	43 0.125046 0.14156;	
142500;	0.127453;	48 0.115346 0.127453;	55 0.117669 0.14156;	45 0.124977 0.130814;	49 0.125013 0.14156;	
145000;	0.127453;	48 0.115346 0.127453;	54 0.115656 0.130814;	55 0.117669 0.14156;	53 0.117925 0.14156;	
147500;	0.127453;	47 0.115346 0.127453;	54 0.115656 0.130814;	52 0.117443 0.14156;	55 0.117669 0.14156;	
150000;	0.127453;	45 0.115346 0.127453;	54 0.115656 0.130814;	49 0.117443 0.14156;	53 0.117669 0.14156;	
152500;	0.127453;	45 0.115346 0.127453;	54 0.115656 0.130814;	53 0.116712 0.14156;	47 0.117443 0.14156;	
155000;	0.127453;	42 0.115346 0.127453;	54 0.115409 0.14156;	54 0.115656 0.130814;	50 0.116281 0.14156;	
157500;	0.127453;	39 0.115346 0.127453;	54 0.115409 0.14156;	54 0.115656 0.130814;	50 0.116281 0.14156;	
160000;	0.125445;	53 0.115145 0.125445;	39 0.115346 0.127453;	54 0.115409 0.14156;	56 0.115497 0.14156;	
